0.0
0.0
0.0
0.0
0.0
"tensor(0.9919, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8336, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8783, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7273, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7416, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5667, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7604, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6717, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7878, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6541, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9517, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7796, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6714, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6966, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8669, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6411, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6885, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6463, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6314, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6636, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6793, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6223, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5800, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5715, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5856, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6111, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6960, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7373, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6121, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7608, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6723, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6141, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7062, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5618, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6315, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5211, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5649, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7159, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6834, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6708, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6883, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6520, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5990, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6936, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6248, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6936, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7962, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7325, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6474, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8047, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7963, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7868, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7578, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7095, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8603, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9185, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9225, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6218, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6526, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6704, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7115, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6449, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6244, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7367, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7666, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6548, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6830, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7255, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8071, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6644, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8346, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6974, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7107, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7200, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7582, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7871, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7738, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6593, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7756, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7545, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8372, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6269, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7073, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5544, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5709, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4955, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7321, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7581, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7003, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6399, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6338, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5806, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5444, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5059, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4712, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5897, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5916, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4745, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5009, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6287, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5749, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5322, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5970, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4976, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6292, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5092, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5807, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5445, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5076, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5307, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4757, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4169, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4245, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4030, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4420, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4938, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4499, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5803, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4580, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4689, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4913, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6049, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5508, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6430, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5207, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6243, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7666, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5305, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6530, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5799, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5297, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5622, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5022, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5444, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6187, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5133, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5500, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6298, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4389, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4231, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6264, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4081, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4613, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6283, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6447, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6858, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6861, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7881, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8153, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9621, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8763, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8955, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9264, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6929, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7157, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7445, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6226, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7285, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6978, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7007, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6512, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6106, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5881, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6214, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5708, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7726, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6341, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6409, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6088, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5662, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5048, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8296, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5625, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5489, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8300, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6584, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6895, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8403, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7812, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6650, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6638, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7309, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7394, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7614, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6426, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5724, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5662, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5185, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6361, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6457, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7371, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4796, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5691, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4782, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6212, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5696, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7436, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6024, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5766, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6073, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6834, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6937, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5463, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5556, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5044, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5513, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4739, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5032, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4807, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4617, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4045, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5072, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7000, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6415, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7010, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7827, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6429, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5853, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5460, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6107, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5165, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5378, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5941, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6826, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5554, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6013, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5354, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5520, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5909, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6477, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6673, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6474, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5086, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5246, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6124, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5441, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4789, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5603, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6128, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7156, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6511, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6861, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5278, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6105, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6921, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5937, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7299, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5392, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4885, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5233, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5577, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5736, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5674, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5399, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5698, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5272, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7729, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5878, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5162, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5862, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5075, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4632, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5595, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5276, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5149, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5442, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6110, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5107, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6332, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5330, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5275, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4695, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4560, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3866, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4618, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4317, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4296, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3684, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4363, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3342, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3895, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4568, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4591, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3686, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5045, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4843, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3561, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4044, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4342, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4366, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3888, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3742, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3749, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4271, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3693, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3890, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3639, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3886, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6036, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4231, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4258, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4085, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3870, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4585, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4251, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3671, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3569, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4385, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3707, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3410, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3212, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3404, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3370, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3226, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3586, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4011, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3718, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6360, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5085, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4459, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5515, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4891, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4558, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4674, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3950, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4021, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5096, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4580, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5467, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4760, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4248, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4855, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4370, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5404, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5537, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4857, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4933, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4541, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5425, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4417, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5243, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4932, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4873, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4518, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4415, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4841, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4339, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4835, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5190, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4710, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5279, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4282, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4633, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5508, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4861, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4394, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3933, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4722, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4946, device='cuda:0', grad_fn=<AddBackward0>)"
